amfi_code,sortino_ratio
100016,-0.4737609123834156
100025,-0.9361664680295009
100033,1.980757029261443
101206,1.939282932029239
101207,0.07582654302342082
101208,-0.9202353836962849
102885,1.5112493982838178
102886,-0.49948928595791375
102887,1.0823889558047728
118632,2.008792325278061
118633,1.1711309993985222
118634,0.6100816149036535
118635,1.1676618948928283
118636,-0.5931452128192267
119092,-0.04430251683623171
119093,0.13546250412082578
119094,1.8119459660034507
119095,-0.3387195467019257
119120,-0.34486740342724365
119551,2.3585414024718228
119552,1.7198572717137637
119598,1.7360087704579386
119599,-0.29889199347836204
120503,1.3972863246010079
120504,1.945945141172563
120505,2.2296708548032553
120506,1.10217795632723
120507,2.0421697268122396
120841,0.8461841203143621
120842,-0.0037362071739584467
120843,2.639633412257113
120844,0.6799808354795285
125497,1.379039183213995
125498,0.40440826256928947
148567,2.6972149241791743
148568,1.7305507347891769
148569,2.3778190350426924
149322,0.7317082256991096
149323,2.044847264606237
149324,1.6818160378018303
