amfi_code,alpha,beta
100016,0.03747580763443287,-0.05826843143880883
100025,0.0428179203150603,0.0011582183155282456
100033,0.271953545012853,0.0051035258305283295
101206,0.2139978477605115,0.0210863162501279
101207,0.10897091901704521,-0.06528924788351506
101208,0.060861457957864774,0.00026670968338229624
102885,0.1704875680341263,-0.01948678568947456
102886,0.028969397866379254,-0.042125029021894154
102887,0.16211256794033213,0.016682689437770733
118632,0.2182939790460857,-0.008353832126962044
118633,0.1564383594816961,-0.03663900671860918
118634,0.17500721675611194,0.1034966369133754
118635,0.15136354648239184,-0.0014335213897801603
118636,0.050747729999759995,0.001256674273155495
119092,0.0689952982167752,0.009730745001153555
119093,0.08232801295222025,0.02588321244009274
119094,0.26076669080042136,-0.06626542862803704
119095,0.04801595363775957,-0.06695117463929193
119120,0.056208952166382664,-0.006413850728276532
119551,0.2320100716063496,-0.03175144113890954
119552,0.19868599366862885,-0.026159307513513218
119598,0.30336965386983256,-0.023196062044059558
119599,0.0488242159455394,0.06200180438267137
120503,0.1770330236584399,-0.04026895236982021
120504,0.21194827013525636,0.0162321697614169
120505,0.29263583341750954,0.0005490042506316168
120506,0.16253853279981,0.04189646272811959
120507,0.06746210411098824,-0.00044409263297066535
120841,0.13042924450705362,0.036356399022199525
120842,0.07804438876154987,0.018056874208118155
120843,0.2733046503830598,-0.022829569792426608
120844,0.0645567749537528,-0.00040074423947835736
125497,0.17729754927531685,0.04882040425957708
125498,0.11989100971217899,0.00905441262173926
148567,0.26983751441917886,0.02368355807584855
148568,0.20873010086942273,-0.02638771994384283
148569,0.2827036785246577,0.018133884083859374
149322,0.1317319022609936,-0.004050271130006773
149323,0.26598577542042906,-0.002523004664698889
149324,0.30057878170976665,0.011455159960520975
